实际值,预测值,预测误差
100830.0,97502.7,3327.296875
92849.0,93027.43,-178.4296875
123452.0,121761.26,1690.7421875
106427.0,104342.78,2084.21875
220373.0,217846.5,2526.5
131519.0,127950.7,3568.296875
116932.0,120406.66,-3474.65625
128941.0,128355.56,585.4375
588207.0,587413.0,794.0
152544.0,155699.12,-3155.125
133988.0,132761.14,1226.859375
380077.0,380318.0,-241.0
164767.0,155360.03,9406.96875
958449.0,938502.8,19946.1875
250271.0,255321.94,-5050.9375
258750.0,238362.53,20387.46875
290943.0,290130.4,812.59375
289315.0,282882.38,6432.625
263625.0,231998.31,31626.6875
302085.0,294704.12,7380.875
228019.00000000003,219805.7,8213.29687500003
214437.0,209848.64,4588.359375
189387.0,187719.58,1667.421875
207112.0,191825.12,15286.875
153266.0,139580.62,13685.375
87133.0,90037.3,-2904.296875
19569.0,34886.117,-15317.1171875
16337.0,32506.02,-16169.01953125
19200.0,28270.121,-9070.12109375
21195.0,27208.285,-6013.28515625
24239.0,25864.488,-1625.48828125
27304.0,26699.455,604.544921875
30523.0,34432.8,-3909.80078125
53111.0,51704.59,1406.41015625
58426.0,57372.312,1053.6875
58876.0,57405.2,1470.80078125
46045.0,48548.33,-2503.328125
54757.0,60065.668,-5308.66796875
60563.0,64712.633,-4149.6328125
59014.0,62040.9,-3026.8984375
64064.0,66925.695,-2861.6953125
56192.0,60403.0,-4211.0
53837.0,54677.008,-840.0078125
68653.0,70317.36,-1664.359375
66504.0,68996.2,-2492.203125
82243.0,84266.92,-2023.921875
38771.0,41077.484,-2306.484375
50517.0,49018.86,1498.140625
75460.0,74490.38,969.6171875
63356.0,62269.742,1086.2578125
59097.0,57547.74,1549.26171875
101873.0,101183.27,689.7265625
50610.0,50925.555,-315.5546875
51433.0,51289.92,143.078125
48104.0,47513.742,590.2578125
74208.0,74686.55,-478.546875
29702.0,32429.432,-2727.431640625
30582.0,28990.832,1591.16796875
53647.0,53708.85,-61.8515625
54979.0,54760.74,218.26171875
52095.0,50595.195,1499.8046875
48384.0,48041.39,342.609375
105539.0,108339.42,-2800.421875
88557.0,89411.93,-854.9296875
51443.0,52369.91,-926.91015625
57418.0,57431.547,-13.546875
64552.0,64554.03,-2.03125
70442.0,68883.06,1558.9375
57917.0,58423.227,-506.2265625
55100.0,54000.9,1099.1015625
48157.0,47713.363,443.63671875
45566.0,46883.746,-1317.74609375
121328.0,128080.445,-6752.4453125
69380.0,73684.39,-4304.390625
79287.0,82688.0,-3401.0
63527.0,60920.36,2606.640625
67738.0,70432.43,-2694.4296875
38616.0,38434.008,181.9921875
38150.0,38397.934,-247.93359375
43642.0,41681.215,1960.78515625
45487.0,44093.28,1393.71875
50770.0,53154.742,-2384.7421875
46608.0,46336.79,271.2109375
56898.0,57974.4,-1076.3984375
45000.0,46897.293,-1897.29296875
48701.0,49691.652,-990.65234375
55582.0,54528.906,1053.09375
75595.0,74845.875,749.125
39307.0,40183.055,-876.0546875
88787.0,91206.125,-2419.125
64782.0,62880.18,1901.8203125
46297.0,47799.01,-1502.01171875
45072.0,44595.688,476.3125
45553.0,43532.344,2020.65625
58550.0,58053.406,496.59375
97839.0,97451.51,387.4921875
80564.0,77994.93,2569.0703125
50227.0,52905.008,-2678.0078125
41629.0,43628.094,-1999.09375
46372.0,45249.504,1122.49609375
46066.0,46804.13,-738.12890625
46780.0,46904.895,-124.89453125
41743.0,39734.17,2008.828125
81900.0,82369.59,-469.59375
73930.0,74443.19,-513.1875
56611.0,54673.914,1937.0859375
22804.0,26941.182,-4137.181640625
23328.0,24090.467,-762.466796875
32301.0,30274.193,2026.806640625
27237.0,27813.508,-576.5078125
34363.0,32423.346,1939.654296875
57596.0,57841.156,-245.15625
49230.0,50973.117,-1743.1171875
46311.0,47681.863,-1370.86328125
54204.0,55638.496,-1434.49609375
30527.0,31873.037,-1346.037109375
33379.0,34358.04,-979.0390625
27036.0,28124.861,-1088.861328125
55877.0,56632.086,-755.0859375
46034.0,47019.547,-985.546875
37194.0,37102.527,91.47265625
93879.0,98086.02,-4207.0234375
34595.0,34931.508,-336.5078125
53005.0,53504.902,-499.90234375
42801.0,43117.062,-316.0625
24843.0,26075.297,-1232.296875
23764.0,25720.797,-1956.796875
33563.0,32016.447,1546.552734375
43467.0,42728.637,738.36328125
72519.0,74095.19,-1576.1875
50403.0,51401.227,-998.2265625
36024.0,36475.375,-451.375
31907.0,32835.98,-928.98046875
30315.0,29879.049,435.951171875
33886.0,34550.24,-664.23828125
33614.0,34375.03,-761.03125
166953.0,175714.7,-8761.703125
88571.0,88528.06,42.9375
137271.0,144385.28,-7114.28125
27974.0,30802.57,-2828.5703125
26268.0,29638.213,-3370.212890625
22839.0,26123.965,-3284.96484375
33810.0,34988.945,-1178.9453125
52423.0,46533.777,5889.22265625
30382.0,29809.43,572.5703125
227310.99999999997,226875.42,435.5781249999709
38351.0,46364.234,-8013.234375
28106.0,31788.592,-3682.591796875
24820.0,26307.111,-1487.111328125
19055.0,23216.182,-4161.181640625
20654.0,21736.656,-1082.65625
93491.0,94051.21,-560.2109375
93063.0,89786.9,3276.1015625
225572.00000000003,230793.14,-5221.140624999971
56126.0,56294.566,-168.56640625
38105.0,41533.02,-3428.01953125
23551.0,27620.709,-4069.708984375
26793.0,29206.438,-2413.4375
22803.0,24935.277,-2132.27734375
24247.0,24245.273,1.7265625
49700.0,50835.586,-1135.5859375
23637.0,28147.055,-4510.0546875
23123.0,22852.527,270.47265625
25804.0,24703.207,1100.79296875
22848.0,22328.547,519.453125
24607.0,22983.436,1623.564453125
35836.0,36614.29,-778.2890625
37992.0,38050.438,-58.4375
22810.0,24946.64,-2136.640625
20987.0,23587.184,-2600.18359375
23947.0,24691.799,-744.798828125
29616.0,27502.027,2113.97265625
32761.0,31779.572,981.427734375
49207.0,47740.53,1466.46875
36383.0,39027.496,-2644.49609375
29782.0,31055.57,-1273.5703125
31284.0,30751.844,532.15625
28776.0,28974.13,-198.130859375
34193.0,33284.23,908.76953125
31266.0,31068.896,197.103515625
41295.0,42606.25,-1311.25
24461.0,26482.863,-2021.86328125
29117.0,29073.72,43.279296875
30335.0,30267.264,67.736328125
45241.0,45653.69,-412.69140625
50756.0,51182.43,-426.4296875
52213.0,52627.78,-414.78125
59458.0,59777.89,-319.890625
56293.0,57095.36,-802.359375
61998.0,62278.895,-280.89453125
59388.0,58699.47,688.53125
44114.0,43969.152,144.84765625
52031.0,52274.21,-243.2109375
62767.0,63108.93,-341.9296875
65822.0,67189.375,-1367.375
51662.0,52023.047,-361.046875
55573.0,56554.42,-981.421875
57829.0,58358.86,-529.859375
69685.0,71293.97,-1608.96875
46211.0,45832.23,378.76953125
34383.0,33309.867,1073.1328125
38942.0,37665.18,1276.8203125
38445.0,36712.062,1732.9375
40201.0,40239.824,-38.82421875
48756.0,48540.992,215.0078125
43941.0,45899.36,-1958.359375
44100.0,45595.03,-1495.03125
50105.0,50172.004,-67.00390625
70218.0,69124.92,1093.078125
79357.0,78675.97,681.03125
70936.0,70767.97,168.03125
53135.0,53385.28,-250.28125
57033.0,57981.64,-948.640625
50009.0,49729.18,279.8203125
119205.00000000001,124436.72,-5231.718749999985
48173.0,48105.906,67.09375
45699.0,45466.6,232.3984375
33037.0,31825.422,1211.578125
30606.0,29235.219,1370.78125
32205.0,30337.71,1867.2890625
37744.0,35438.4,2305.6015625
57176.0,55393.523,1782.4765625
53129.0,51544.895,1584.10546875
40059.0,36470.926,3588.07421875
38929.0,36363.94,2565.05859375
55043.0,51415.312,3627.6875
62341.0,57465.117,4875.8828125
55493.0,52290.445,3202.5546875
63260.0,61180.7,2079.30078125
62742.0,61809.785,932.21484375
79784.0,81095.52,-1311.5234375
71437.0,72087.59,-650.59375
61952.0,63524.68,-1572.6796875
73608.0,75639.375,-2031.375
85037.0,85663.56,-626.5625
74427.0,73256.25,1170.75
338136.0,339980.8,-1844.8125
88877.0,86557.695,2319.3046875
38458.0,41174.133,-2716.1328125
32626.0,34543.797,-1917.796875
50408.0,50316.637,91.36328125
75765.0,73518.984,2246.015625
63613.0,65443.156,-1830.15625
51922.0,51813.117,108.8828125
53445.0,53242.39,202.609375
55743.0,55761.47,-18.46875
44183.0,42882.137,1300.86328125
32090.0,32704.36,-614.359375
22580.0,25412.96,-2832.9609375
30247.0,30956.555,-709.5546875
28958.0,27965.758,992.2421875
25784.0,24229.707,1554.29296875
33624.0,32476.385,1147.615234375
33396.0,32727.375,668.625
39656.0,39328.36,327.640625
42081.0,42771.25,-690.25
53289.0,53017.848,271.15234375
33689.0,33129.406,559.59375
33948.0,34528.38,-580.37890625
38158.0,38790.934,-632.93359375
33464.0,34535.184,-1071.18359375
39303.0,38505.05,797.94921875
33353.0,32504.244,848.755859375
50418.0,48790.605,1627.39453125
44598.0,45538.754,-940.75390625
52945.0,53538.65,-593.6484375
53579.0,53542.934,36.06640625
48643.0,49123.047,-480.046875
42912.0,43846.652,-934.65234375
36383.0,35760.863,622.13671875
58453.0,57327.188,1125.8125
51159.0,51198.453,-39.453125
49629.0,50769.664,-1140.6640625
37468.0,38287.035,-819.03515625
32932.0,34104.83,-1172.828125
48492.0,50889.28,-2397.28125
41618.0,41908.37,-290.37109375
64813.0,64792.137,20.86328125
59139.0,59927.844,-788.84375
55816.0,54971.953,844.046875
39326.0,37197.082,2128.91796875
45452.0,45788.1,-336.1015625
65103.0,62387.734,2715.265625
73600.0,73001.33,598.671875
70933.0,67444.47,3488.53125
61350.0,56098.594,5251.40625
50947.0,47489.25,3457.75
49439.0,45861.883,3577.1171875
166430.0,167797.8,-1367.796875
158939.0,155743.97,3195.03125
122303.0,127052.15,-4749.1484375
157298.0,168872.66,-11574.65625
75303.0,70697.875,4605.125
52268.0,48266.953,4001.046875
