ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,chinese_holiday,chinese_holiday_lower,chinese_holiday_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,quarterly,quarterly_lower,quarterly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-06-01,11501.5828005,-70625.54652640244,44848.17317615409,11501.5828005,11501.5828005,-23597.057462492165,-23597.057462492165,-23597.057462492165,0.0,0.0,0.0,0.0,0.0,0.0,478.0171204555943,478.0171204555943,478.0171204555943,-7831.924327640363,-7831.924327640363,-7831.924327640363,-425.8173250026875,-425.8173250026875,-425.8173250026875,-15817.33293030472,-15817.33293030472,-15817.33293030472,0.0,0.0,0.0,-12095.474661992164
2016-06-02,11558.772211369975,-69103.33499067246,47724.13825113172,11558.772211369975,11558.772211369975,-20626.3303034983,-20626.3303034983,-20626.3303034983,0.0,0.0,0.0,0.0,0.0,0.0,3550.8293461314843,3550.8293461314843,3550.8293461314843,-2971.850523609504,-2971.850523609504,-2971.850523609504,2813.2704882468142,2813.2704882468142,2813.2704882468142,-24018.5796142671,-24018.5796142671,-24018.5796142671,0.0,0.0,0.0,-9067.558092128325
2016-06-03,11615.96162223995,-74400.33873448319,38777.714858540945,11615.96162223995,11615.96162223995,-30260.119137460697,-30260.119137460697,-30260.119137460697,0.0,0.0,0.0,0.0,0.0,0.0,4465.3700281348565,4465.3700281348565,4465.3700281348565,2107.024573318039,2107.024573318039,2107.024573318039,-4388.569164517749,-4388.569164517749,-4388.569164517749,-32443.94457439584,-32443.94457439584,-32443.94457439584,0.0,0.0,0.0,-18644.157515220744
2016-06-04,11673.151033109925,-75554.4906340357,45060.70425874485,11673.151033109925,11673.151033109925,-28350.66306147006,-28350.66306147006,-28350.66306147006,0.0,0.0,0.0,0.0,0.0,0.0,7207.398386863217,7207.398386863217,7207.398386863217,6977.892053189582,6977.892053189582,6977.892053189582,-2351.13180847497,-2351.13180847497,-2351.13180847497,-40184.82169304789,-40184.82169304789,-40184.82169304789,0.0,0.0,0.0,-16677.512028360135
2016-06-05,11730.3404439799,-71871.14442429297,44875.63848804006,11730.3404439799,11730.3404439799,-26698.145198043323,-26698.145198043323,-26698.145198043323,0.0,0.0,0.0,0.0,0.0,0.0,11377.633788603476,11377.633788603476,11377.633788603476,11230.070466678782,11230.070466678782,11230.070466678782,-2977.4654660959504,-2977.4654660959504,-2977.4654660959504,-46328.38398722963,-46328.38398722963,-46328.38398722963,0.0,0.0,0.0,-14967.804754063423
2016-06-06,11787.529854849874,-70163.61821286101,46777.51828806037,11787.529854849874,11787.529854849874,-24256.647524914097,-24256.647524914097,-24256.647524914097,0.0,0.0,0.0,0.0,0.0,0.0,12712.87941898911,12712.87941898911,12712.87941898911,14496.637805312037,14496.637805312037,14496.637805312037,-1411.0051757658482,-1411.0051757658482,-1411.0051757658482,-50055.15957344941,-50055.15957344941,-50055.15957344941,0.0,0.0,0.0,-12469.117670064223
2016-06-07,11844.71926571985,-68906.20958193255,49872.648438181444,11844.71926571985,11844.71926571985,-19865.316364612467,-19865.316364612467,-19865.316364612467,0.0,0.0,0.0,0.0,0.0,0.0,13067.101096620307,13067.101096620307,13067.101096620307,16479.034582327135,16479.034582327135,16479.034582327135,1320.3942868591985,1320.3942868591985,1320.3942868591985,-50731.84633041909,-50731.84633041909,-50731.84633041909,0.0,0.0,0.0,-8020.5970988926165
2016-06-08,11901.908676589825,-62671.34753388459,56164.337607866786,11901.908676589825,11901.908676589825,-14136.18113477821,-14136.18113477821,-14136.18113477821,0.0,0.0,0.0,0.0,0.0,0.0,17310.22160368142,17310.22160368142,17310.22160368142,16968.28120172812,16968.28120172812,16968.28120172812,-425.81732500406446,-425.81732500406446,-425.81732500406446,-47988.866615183666,-47988.866615183666,-47988.866615183666,0.0,0.0,0.0,-2234.272458188385
2016-06-09,11959.098087459799,-46664.724657093255,72063.32370660313,11959.098087459799,11959.098087459799,-2253.691175945436,-2253.691175945436,-2253.691175945436,0.0,0.0,0.0,0.0,0.0,0.0,20844.185774585454,20844.185774585454,20844.185774585454,15862.346002846481,15862.346002846481,15862.346002846481,2813.2704882393705,2813.2704882393705,2813.2704882393705,-41773.49344161675,-41773.49344161675,-41773.49344161675,0.0,0.0,0.0,9705.406911514363
2016-06-10,12016.287498329773,-55671.39122363033,63589.68616506221,12016.287498329773,12016.287498329773,-9565.493569379962,-9565.493569379962,-9565.493569379962,0.0,0.0,0.0,0.0,0.0,0.0,14016.034188901256,14016.034188901256,14016.034188901256,13178.824712249449,13178.824712249449,13178.824712249449,-4388.569164530362,-4388.569164530362,-4388.569164530362,-32371.7833060003,-32371.7833060003,-32371.7833060003,0.0,0.0,0.0,2450.7939289498117
2016-06-11,12073.47690919975,-61805.25655515566,59015.30792065258,12073.47690919975,12073.47690919975,-14483.152253045175,-14483.152253045175,-14483.152253045175,0.0,0.0,0.0,0.0,0.0,0.0,-797.8469720387037,-797.8469720387037,-797.8469720387037,9061.606961621388,9061.606961621388,9061.606961621388,-2351.1318084815994,-2351.1318084815994,-2351.1318084815994,-20395.78043414626,-20395.78043414626,-20395.78043414626,0.0,0.0,0.0,-2409.6753438454252
2016-06-12,12130.666320069724,-63176.87959175782,56860.86196162775,12130.666320069724,12130.666320069724,-16057.131031573988,-16057.131031573988,-16057.131031573988,0.0,0.0,0.0,0.0,0.0,0.0,-10123.318710828884,-10123.318710828884,-10123.318710828884,3779.819038609754,3779.819038609754,3779.819038609754,-2977.4654660896394,-2977.4654660896394,-2977.4654660896394,-6736.165893265219,-6736.165893265219,-6736.165893265219,0.0,0.0,0.0,-3926.4647115042644
2016-06-13,12187.855730939698,-51772.21859972756,63818.64560864341,12187.855730939698,12187.855730939698,-4490.639614644243,-4490.639614644243,-4490.639614644243,0.0,0.0,0.0,0.0,0.0,0.0,-8312.581734334432,-8312.581734334432,-8312.581734334432,-2282.7473091381844,-2282.7473091381844,-2282.7473091381844,-1411.005175763053,-1411.005175763053,-1411.005175763053,7515.694604591417,7515.694604591417,7515.694604591417,0.0,0.0,0.0,7697.216116295455
2016-06-14,12245.045141809675,-34604.4846892417,79599.51850459437,12245.045141809675,12245.045141809675,10475.25138829338,10475.25138829338,10475.25138829338,0.0,0.0,0.0,0.0,0.0,0.0,-3364.9399687428568,-3364.9399687428568,-3364.9399687428568,-8649.123577223572,-8649.123577223572,-8649.123577223572,1320.3942868625504,1320.3942868625504,1320.3942868625504,21168.920647397263,21168.920647397263,21168.920647397263,0.0,0.0,0.0,22720.296530103056
2016-06-15,12302.234552679647,-32271.659462316486,90018.25400543444,12302.234552679647,12302.234552679647,14657.716828043884,14657.716828043884,14657.716828043884,0.0,0.0,0.0,0.0,0.0,0.0,-3181.8424157417676,-3181.8424157417676,-3181.8424157417676,-14782.055117416565,-14782.055117416565,-14782.055117416565,-425.81732500610246,-425.81732500610246,-425.81732500610246,33047.43168620833,33047.43168620833,33047.43168620833,0.0,0.0,0.0,26959.95138072353
2016-06-16,12359.423963549623,-32031.960623265008,84735.32416723203,12359.423963549623,12359.423963549623,17859.521463791873,17859.521463791873,17859.521463791873,0.0,0.0,0.0,0.0,0.0,0.0,-6932.066907188597,-6932.066907188597,-6932.066907188597,-20127.37783289405,-20127.37783289405,-20127.37783289405,2813.270488247659,2813.270488247659,2813.270488247659,42105.695715626855,42105.695715626855,42105.695715626855,0.0,0.0,0.0,30218.945427341496
2016-06-17,12416.613374419598,-39285.65786947505,77729.27875777813,12416.613374419598,12416.613374419598,8182.190171207563,8182.190171207563,8182.190171207563,0.0,0.0,0.0,0.0,0.0,0.0,-10797.798936362147,-10797.798936362147,-10797.798936362147,-24165.25642669655,-24165.25642669655,-24165.25642669655,-4388.569164527462,-4388.569164527462,-4388.569164527462,47533.81469879373,47533.81469879373,47533.81469879373,0.0,0.0,0.0,20598.80354562716
2016-06-18,12473.802785289572,-39621.036487488054,78109.56139981377,12473.802785289572,12473.802785289572,6819.04905220589,6819.04905220589,6819.04905220589,0.0,0.0,0.0,0.0,0.0,0.0,-13205.678299507597,-13205.678299507597,-13205.678299507597,-26464.914761821947,-26464.914761821947,-26464.914761821947,-2351.1318084733,-2351.1318084733,-2351.1318084733,48840.77392200873,48840.77392200873,48840.77392200873,0.0,0.0,0.0,19292.851837495462
2016-06-19,12530.992196159548,-42046.32006370089,75743.83110817798,12530.992196159548,12530.992196159548,2674.162174949559,2674.162174949559,2674.162174949559,0.0,0.0,0.0,0.0,0.0,0.0,-13518.169729812531,-13518.169729812531,-13518.169729812531,-26737.03636601427,-26737.03636601427,-26737.03636601427,-2977.465466070036,-2977.465466070036,-2977.465466070036,45906.83373684637,45906.83373684637,45906.83373684637,0.0,0.0,0.0,15205.154371109107
2016-06-20,12588.181607029523,-45174.37903359634,71961.23184359953,12588.181607029523,12588.181607029523,1032.668361626238,1032.668361626238,1032.668361626238,0.0,0.0,0.0,0.0,0.0,0.0,-11678.344766920141,-11678.344766920141,-11678.344766920141,-24877.17965723476,-24877.17965723476,-24877.17965723476,-1411.005175763787,-1411.005175763787,-1411.005175763787,38999.19796154493,38999.19796154493,38999.19796154493,0.0,0.0,0.0,13620.84996865576
2016-06-21,12645.371017899497,-50315.3714891495,72700.53399773357,12645.371017899497,12645.371017899497,29.512904361725845,29.512904361725845,29.512904361725845,0.0,0.0,0.0,0.0,0.0,0.0,-9046.199346495197,-9046.199346495197,-9046.199346495197,-20993.599764789607,-20993.599764789607,-20993.599764789607,1320.394286861945,1320.394286861945,1320.394286861945,28748.917728784592,28748.917728784592,28748.917728784592,0.0,0.0,0.0,12674.883922261222
2016-06-22,12702.560428769473,-50472.427373787155,67030.4379584109,12702.560428769473,12702.560428769473,-6239.85041433618,-6239.85041433618,-6239.85041433618,0.0,0.0,0.0,0.0,0.0,0.0,-6491.166092239878,-6491.166092239878,-6491.166092239878,-15413.937061269999,-15413.937061269999,-15413.937061269999,-425.8173250069509,-425.8173250069509,-425.8173250069509,16091.070064180634,16091.070064180634,16091.070064180634,0.0,0.0,0.0,6462.7100144332935
2016-06-23,12759.749839639448,-54825.83395526687,62895.05683328117,12759.749839639448,12759.749839639448,-7420.670907120096,-7420.670907120096,-7420.670907120096,0.0,0.0,0.0,0.0,0.0,0.0,-3740.783097030617,-3740.783097030617,-3740.783097030617,-8667.301322785339,-8667.301322785339,-8667.301322785339,2813.270488238985,2813.270488238985,2813.270488238985,2174.1430244568705,2174.1430244568705,2174.1430244568705,0.0,0.0,0.0,5339.078932519352
2016-06-24,12816.939250509422,-66643.67241358513,53461.351122285174,12816.939250509422,12816.939250509422,-19204.636063474758,-19204.636063474758,-19204.636063474758,0.0,0.0,0.0,0.0,0.0,0.0,-1622.7495248921716,-1622.7495248921716,-1622.7495248921716,-1441.1554580237485,-1441.1554580237485,-1441.1554580237485,-4388.569164526355,-4388.569164526355,-4388.569164526355,-11752.161916032484,-11752.161916032484,-11752.161916032484,0.0,0.0,0.0,-6387.696812965336
2016-06-25,12874.128661379398,-65674.36288040475,52970.31917931167,12874.128661379398,12874.128661379398,-22353.804050872408,-22353.804050872408,-22353.804050872408,0.0,0.0,0.0,0.0,0.0,0.0,-1027.7458534145076,-1027.7458534145076,-1027.7458534145076,5484.267958000063,5484.267958000063,5484.267958000063,-2351.1318084782642,-2351.1318084782642,-2351.1318084782642,-24459.194346979686,-24459.194346979686,-24459.194346979686,0.0,0.0,0.0,-9479.67538949301
2016-06-26,12931.31807224937,-68534.8504861548,44199.362859685636,12931.31807224937,12931.31807224937,-26649.74969943941,-26649.74969943941,-26649.74969943941,0.0,0.0,0.0,0.0,0.0,0.0,-131.1564341214384,-131.1564341214384,-131.1564341214384,11317.964960804311,11317.964960804311,11317.964960804311,-2977.465466087761,-2977.465466087761,-2977.465466087761,-34859.09276003451,-34859.09276003451,-34859.09276003451,0.0,0.0,0.0,-13718.431627190039
2016-06-27,12988.507483119347,-68901.8066766561,46916.43516971264,12988.507483119347,12988.507483119347,-25909.08311214416,-25909.08311214416,-25909.08311214416,0.0,0.0,0.0,0.0,0.0,0.0,2263.8726364257254,2263.8726364257254,2263.8726364257254,15347.720905155906,15347.720905155906,15347.720905155906,-1411.0051757774695,-1411.0051757774695,-1411.0051757774695,-42109.6714779483,-42109.6714779483,-42109.6714779483,0.0,0.0,0.0,-12920.575629024812
2016-06-28,13045.696893989321,-67862.65096017324,47516.27047647594,13045.696893989321,13045.696893989321,-24547.36128526187,-24547.36128526187,-24547.36128526187,0.0,0.0,0.0,0.0,0.0,0.0,2799.3905571124155,2799.3905571124155,2799.3905571124155,17026.57368701406,17026.57368701406,17026.57368701406,1320.394286861226,1320.394286861226,1320.394286861226,-45693.71981624958,-45693.71981624958,-45693.71981624958,0.0,0.0,0.0,-11501.66439127255
2016-06-29,13102.886304859296,-75271.11047906942,41811.36855504395,13102.886304859296,13102.886304859296,-30651.944587455393,-30651.944587455393,-30651.944587455393,0.0,0.0,0.0,0.0,0.0,0.0,-806.480931396813,-806.480931396813,-806.480931396813,16045.06223045834,16045.06223045834,16045.06223045834,-425.817325002731,-425.817325002731,-425.817325002731,-45464.70856151419,-45464.70856151419,-45464.70856151419,0.0,0.0,0.0,-17549.058282596096
2016-06-30,13160.075715729272,-76419.50545651602,40708.879108668414,13160.075715729272,13160.075715729272,-30350.66607653962,-30350.66607653962,-30350.66607653962,0.0,0.0,0.0,0.0,0.0,0.0,-3888.6725833582677,-3888.6725833582677,-3888.6725833582677,12379.212216928187,12379.212216928187,12379.212216928187,2813.2704882543107,2813.2704882543107,2813.2704882543107,-41654.476198363845,-41654.476198363845,-41654.476198363845,0.0,0.0,0.0,-17190.590360810347
2016-08-01,14990.136863568468,-64956.174151999774,53854.50679709021,14990.136863568468,14990.136863568468,-20888.756375182966,-20888.756375182966,-20888.756375182966,0.0,0.0,0.0,0.0,0.0,0.0,478.0171204422758,478.0171204422758,478.0171204422758,3960.061150332504,3960.061150332504,3960.061150332504,-1411.0051757762003,-1411.0051757762003,-1411.0051757762003,-23915.829470181543,-23915.829470181543,-23915.829470181543,0.0,0.0,0.0,-5898.619511614497
2016-08-02,15047.326274438441,-59936.166014923816,55067.84950334657,15047.326274438441,15047.326274438441,-18648.199248016954,-18648.199248016954,-18648.199248016954,0.0,0.0,0.0,0.0,0.0,0.0,3550.8293461385183,3550.8293461385183,3550.8293461385183,3418.267635736595,3418.267635736595,3418.267635736595,1320.3942868590452,1320.3942868590452,1320.3942868590452,-26937.690516751114,-26937.690516751114,-26937.690516751114,0.0,0.0,0.0,-3600.8729735785128
2016-08-03,15104.515685308417,-67038.83899316381,54639.594442349386,15104.515685308417,15104.515685308417,-22934.460924802344,-22934.460924802344,-22934.460924802344,0.0,0.0,0.0,0.0,0.0,0.0,4465.370028137909,4465.370028137909,4465.370028137909,2453.3630156097934,2453.3630156097934,2453.3630156097934,-425.81732500642363,-425.81732500642363,-425.81732500642363,-29427.376643543626,-29427.376643543626,-29427.376643543626,0.0,0.0,0.0,-7829.945239493927
2016-08-04,15161.705096178392,-67612.77888553207,51401.567350848214,15161.705096178392,15161.705096178392,-19892.608939010468,-19892.608939010468,-19892.608939010468,0.0,0.0,0.0,0.0,0.0,0.0,7207.398386863455,7207.398386863455,7207.398386863455,1167.3424112518667,1167.3424112518667,1167.3424112518667,2813.2704882436374,2813.2704882436374,2813.2704882436374,-31080.620225369436,-31080.620225369436,-31080.620225369436,0.0,0.0,0.0,-4730.903842832076
2016-08-05,15218.894507048366,-63071.4013602214,51940.27429362669,15218.894507048366,15218.894507048366,-24968.061751728615,-24968.061751728615,-24968.061751728615,0.0,0.0,0.0,0.0,0.0,0.0,11377.633788625943,11377.633788625943,11377.633788625943,-228.20945049128747,-228.20945049128747,-228.20945049128747,-4388.569164535585,-4388.569164535585,-4388.569164535585,-31728.916925327696,-31728.916925327696,-31728.916925327696,0.0,0.0,0.0,-9749.16724468025
