params,val_loss,smoothness,sensitivity,combined_score
"{'hidden_size': 128, 'learning_rate': 0.0005, 'batch_size': 32, 'dropout': 0.1, 'epochs': 50, 'patience': 10, 'gradient_clip': 0.5, 'weight_decay': 0.001, 'output_size': 7}",0.032978723643464034,0.0056823925,0.037724886,0.06109086165961343
"{'hidden_size': 128, 'learning_rate': 0.0005, 'batch_size': 32, 'dropout': 0.1, 'epochs': 50, 'patience': 10, 'gradient_clip': 0.5, 'weight_decay': 0.01, 'output_size': 7}",0.031493950064759704,0.006795118,0.04116833,0.06235031535616145
"{'hidden_size': 128, 'learning_rate': 0.0005, 'batch_size': 32, 'dropout': 0.2, 'epochs': 50, 'patience': 10, 'gradient_clip': 0.5, 'weight_decay': 0.001, 'output_size': 7}",0.03197208013152703,0.008012783,0.0391403,0.061774124240037045
"{'hidden_size': 128, 'learning_rate': 0.0005, 'batch_size': 32, 'dropout': 0.2, 'epochs': 50, 'patience': 10, 'gradient_clip': 0.5, 'weight_decay': 0.01, 'output_size': 7}",0.03146908634807914,0.005313882,0.03713086,0.05905485211405903
"{'hidden_size': 128, 'learning_rate': 0.0005, 'batch_size': 64, 'dropout': 0.1, 'epochs': 50, 'patience': 10, 'gradient_clip': 0.5, 'weight_decay': 0.001, 'output_size': 7}",0.03196261499542743,0.0062736785,0.038545407,0.06082650369498878
"{'hidden_size': 128, 'learning_rate': 0.0005, 'batch_size': 64, 'dropout': 0.1, 'epochs': 50, 'patience': 10, 'gradient_clip': 0.5, 'weight_decay': 0.01, 'output_size': 7}",0.03161110441433265,0.006514283,0.037295718,0.05967239170568063
"{'hidden_size': 128, 'learning_rate': 0.0005, 'batch_size': 64, 'dropout': 0.2, 'epochs': 50, 'patience': 10, 'gradient_clip': 0.5, 'weight_decay': 0.001, 'output_size': 7}",0.03225341177312657,0.008868563,0.046907563,0.06774927460355684
"{'hidden_size': 128, 'learning_rate': 0.0005, 'batch_size': 64, 'dropout': 0.2, 'epochs': 50, 'patience': 10, 'gradient_clip': 0.5, 'weight_decay': 0.01, 'output_size': 7}",0.03262621893081814,0.004996808,0.0376316,0.06046738203149289
"{'hidden_size': 128, 'learning_rate': 0.001, 'batch_size': 32, 'dropout': 0.1, 'epochs': 50, 'patience': 10, 'gradient_clip': 0.5, 'weight_decay': 0.001, 'output_size': 7}",0.031248733750544485,0.005492348,0.03785323,0.05939369907137006
"{'hidden_size': 128, 'learning_rate': 0.001, 'batch_size': 32, 'dropout': 0.1, 'epochs': 50, 'patience': 10, 'gradient_clip': 0.5, 'weight_decay': 0.01, 'output_size': 7}",0.031611878250259906,0.005139499,0.03839856,0.06003272003727034
